pheno	rsid	pval	phenostring	phenocode	big_pval	effect_direction	category	big_pval_adj	phenocat	pval_sign	minpadj	prank	shortname	X3	pheno2
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.19	same	Physical	1	NSP	0.19	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Relative age of first facial hair	biobank_2375	0.34	same	Physical	1	NSP	0.34	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.38	opposite	Physical	1	NSP	-0.38	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Hair/balding pattern: Pattern 4	biobank_2395_4	0.72	opposite	Physical	1	NSP	-0.72	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.77	same	Non-cancer illness	1	NSP	0.77	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.82	same	Non-cancer illness	1	NSP	0.82	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.0045	opposite	Non-cancer illness	1	NSP	-0.0045	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Neuroticism score	biobank_20127	0.0049	opposite	Mental health	1	NSP	-0.0049	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Sensitivity / hurt feelings	biobank_1950	0.0053	opposite	Mental health	1	NSP	-0.0053	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.029	opposite	Physical	1	NSP	-0.029	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.036	same	Non-cancer illness	1	NSP	0.036	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	0.096	opposite	Non-cancer illness	1	NSP	-0.096	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Nap during day	biobank_1190	0.17	same	Exercise and Work	1	NSP	0.17	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Trunk fat percentage	biobank_23127	0.18	same	Physical	1	NSP	0.18	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Ever smoked	biobank_20160	0.19	same	Smoking	1	NSP	0.19	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Hair/balding pattern: Pattern 3	biobank_2395_3	0.37	opposite	Physical	1	NSP	-0.37	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	0.45	opposite	Early life	1	NSP	-0.45	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Qualifications: College or University degree	biobank_6138_1	0.45	same	Early life	1	NSP	0.45	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Qualifications: None of the above	biobank_6138_100	0.54	same	Early life	1	NSP	0.54	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Hair/balding pattern: Pattern 4	biobank_2395_4	0.57	opposite	Physical	1	NSP	-0.57	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Sitting height	biobank_20015	0.74	opposite	Physical	1	NSP	-0.74	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Smoking status: Previous	biobank_20116_1	0.74	same	Smoking	1	NSP	0.74	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Relative age of first facial hair	biobank_2375	0.78	same	Physical	1	NSP	0.78	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.86	opposite	Treatment/medication	1	NSP	-0.86	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.95	opposite	Physical	1	NSP	-0.95	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs437021	9.6e-09	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.99	same	Physical	1	NSP	0.99	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Qualifications: College or University degree	biobank_6138_1	3e-18	opposite	Early life	1.47842936707293e-13	NSP	-3e-18	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	9.1e-14	opposite	Early life	2.1974388492594e-09	NSP	-9.1e-14	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Qualifications: None of the above	biobank_6138_100	6.1e-12	same	Early life	9.75502290989181e-08	NSP	6.1e-12	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Nap during day	biobank_1190	4.3e-06	same	Exercise and Work	0.0183130551230022	NSP	4.3e-06	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Smoking status: Previous	biobank_20116_1	3.2e-05	same	Smoking	0.0985619578048621	NSP	3.2e-05	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Ever smoked	biobank_20160	0.00034	same	Smoking	0.577370681093179	NSP	0.00034	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Trunk fat percentage	biobank_23127	0.00045	same	Physical	0.70515612251694	NSP	0.00045	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Sitting height	biobank_20015	0.0026	opposite	Physical	1	NSP	-0.0026	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.0067	opposite	Physical	1	NSP	-0.0067	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.068	same	Physical	1	NSP	0.068	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Neuroticism score	biobank_20127	0.17	same	Mental health	1	NSP	0.17	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.33	same	Non-cancer illness	1	NSP	0.33	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.42	same	Non-cancer illness	1	NSP	0.42	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Relative age of first facial hair	biobank_2375	0.45	opposite	Physical	1	NSP	-0.45	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	0.47	opposite	Non-cancer illness	1	NSP	-0.47	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.51	same	Physical	1	NSP	0.51	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Hair/balding pattern: Pattern 3	biobank_2395_3	0.62	opposite	Physical	1	NSP	-0.62	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Hair/balding pattern: Pattern 4	biobank_2395_4	0.8	same	Physical	1	NSP	0.8	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.8	opposite	Treatment/medication	1	NSP	-0.8	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs12042107	1.9e-10	Sensitivity / hurt feelings	biobank_1950	0.83	same	Mental health	1	NSP	0.83	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Hair/balding pattern: Pattern 4	biobank_2395_4	2.1e-07	opposite	Physical	0.00134509621460482	NSP	-2.1e-07	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Sitting height	biobank_20015	4e-06	opposite	Physical	0.0173412421272468	NSP	-4e-06	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	0.0028	opposite	Early life	1	NSP	-0.0028	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Qualifications: College or University degree	biobank_6138_1	0.02	opposite	Early life	1	NSP	-0.02	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.024	opposite	Physical	1	NSP	-0.024	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Ever smoked	biobank_20160	0.035	same	Smoking	1	NSP	0.035	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Qualifications: None of the above	biobank_6138_100	0.055	same	Early life	1	NSP	0.055	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	0.083	same	Non-cancer illness	1	NSP	0.083	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.14	opposite	Physical	1	NSP	-0.14	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Relative age of first facial hair	biobank_2375	0.14	same	Physical	1	NSP	0.14	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Hair/balding pattern: Pattern 3	biobank_2395_3	0.14	opposite	Physical	1	NSP	-0.14	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Nap during day	biobank_1190	0.21	same	Exercise and Work	1	NSP	0.21	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Smoking status: Previous	biobank_20116_1	0.29	same	Smoking	1	NSP	0.29	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.34	opposite	Physical	1	NSP	-0.34	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.42	same	Treatment/medication	1	NSP	0.42	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Neuroticism score	biobank_20127	0.54	same	Mental health	1	NSP	0.54	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.75	opposite	Non-cancer illness	1	NSP	-0.75	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.83	same	Non-cancer illness	1	NSP	0.83	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Trunk fat percentage	biobank_23127	0.83	same	Physical	1	NSP	0.83	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs2754523	2.4e-08	Sensitivity / hurt feelings	biobank_1950	0.91	same	Mental health	1	NSP	0.91	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Ever smoked	biobank_20160	2.5e-13	same	Smoking	5.34240700490956e-09	NSP	2.5e-13	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Smoking status: Previous	biobank_20116_1	2.5e-12	same	Smoking	4.28150348620411e-08	NSP	2.5e-12	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Neuroticism score	biobank_20127	1.6e-05	opposite	Mental health	0.0558327853461068	NSP	-1.6e-05	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Qualifications: College or University degree	biobank_6138_1	5.9e-05	opposite	Early life	0.162083401600601	NSP	-5.9e-05	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Nap during day	biobank_1190	0.004	opposite	Exercise and Work	1	NSP	-0.004	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	0.019	opposite	Early life	1	NSP	-0.019	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.059	same	Physical	1	NSP	0.059	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Hair/balding pattern: Pattern 3	biobank_2395_3	0.065	opposite	Physical	1	NSP	-0.065	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Hair/balding pattern: Pattern 4	biobank_2395_4	0.072	opposite	Physical	1	NSP	-0.072	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.081	same	Physical	1	NSP	0.081	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Qualifications: None of the above	biobank_6138_100	0.11	same	Early life	1	NSP	0.11	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Trunk fat percentage	biobank_23127	0.16	same	Physical	1	NSP	0.16	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Sitting height	biobank_20015	0.18	same	Physical	1	NSP	0.18	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Relative age of first facial hair	biobank_2375	0.49	same	Physical	1	NSP	0.49	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.52	same	Non-cancer illness	1	NSP	0.52	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.54	opposite	Treatment/medication	1	NSP	-0.54	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	0.59	same	Non-cancer illness	1	NSP	0.59	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Sensitivity / hurt feelings	biobank_1950	0.85	same	Mental health	1	NSP	0.85	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.96	same	Physical	1	NSP	0.96	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs726610	1.5e-11	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.98	opposite	Non-cancer illness	1	NSP	-0.98	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Trunk fat percentage	biobank_23127	3.1e-05	same	Physical	0.0960947457673848	NSP	3.1e-05	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Qualifications: College or University degree	biobank_6138_1	8.1e-05	opposite	Early life	0.206107697854319	NSP	-8.1e-05	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Ever smoked	biobank_20160	0.00054	same	Smoking	0.805917615425417	NSP	0.00054	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Sitting height	biobank_20015	0.0087	same	Physical	1	NSP	0.0087	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Smoking status: Previous	biobank_20116_1	0.0091	same	Smoking	1	NSP	0.0091	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.012	same	Physical	1	NSP	0.012	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Qualifications: None of the above	biobank_6138_100	0.022	same	Early life	1	NSP	0.022	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Hair/balding pattern: Pattern 3	biobank_2395_3	0.034	opposite	Physical	1	NSP	-0.034	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.042	same	Non-cancer illness	1	NSP	0.042	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Hair/balding pattern: Pattern 4	biobank_2395_4	0.1	same	Physical	1	NSP	0.1	4.99052046351952e-48	2	Balding pattern 4	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	0.22	opposite	Early life	1	NSP	-0.22	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Forced expiratory volume in 1-second (FEV1)	biobank_3063	0.36	opposite	Physical	1	NSP	-0.36	2.56569096410782e-23	8	FEV1	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.37	same	Non-cancer illness	1	NSP	0.37	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	0.43	same	Non-cancer illness	1	NSP	0.43	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Relative age of first facial hair	biobank_2375	0.46	opposite	Physical	1	NSP	-0.46	3.5738565900043e-20	11	Relative age of first facial hair	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Sensitivity / hurt feelings	biobank_1950	0.47	opposite	Mental health	1	NSP	-0.47	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Nap during day	biobank_1190	0.69	same	Exercise and Work	1	NSP	0.69	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.81	same	Treatment/medication	1	NSP	0.81	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Neuroticism score	biobank_20127	0.86	opposite	Mental health	1	NSP	-0.86	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs35384579	1.1e-09	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.99	same	Physical	1	NSP	0.99	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.037	same	Physical	1	NSP	0.037	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Nap during day	biobank_1190	0.063	same	Exercise and Work	1	NSP	0.063	2.81722929392231e-25	6	Nap during day	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Ever smoked	biobank_20160	0.092	same	Smoking	1	NSP	0.092	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Smoking status: Previous	biobank_20116_1	0.31	same	Smoking	1	NSP	0.31	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	biobank_20002_1225	0.32	same	Non-cancer illness	1	NSP	0.32	8.69316467838883e-38	3	Hyperthyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Non-cancer illness code, self-reported: malabsorption/coeliac disease	biobank_20002_1456	0.35	opposite	Non-cancer illness	1	NSP	-0.35	4.82953593243824e-193	1	Coeliac disease	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Qualifications: None of the above	biobank_6138_100	0.39	opposite	Early life	1	NSP	-0.39	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Hair/balding pattern: Pattern 3	biobank_2395_3	0.41	opposite	Physical	1	NSP	-0.41	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs114494505	3.1e-08	Heel bone mineral density (BMD) T-score, automated (left)	biobank_4106	0.43	same	Physical	1	NSP	0.43	5.63445858784462e-18	12	Bone mineral density (left heel)	FALSE	combined
